ibvsp ^bvsp
alll11 alll11.sa
aces4 aces4.sa
ambv4 ambv4.sa
arcz6 arcz6.sa
btow3 btow3.sa
bbdc4 bbdc4.sa
brap4 brap4.sa
bbas3 bbas3.sa
brtp3 brtp3.sa
brtp4 brtp4.sa
brto4 brto4.sa
brkm5 brkm5.sa
ccro3 ccro3.sa
clsc6 clsc6.sa
cmig4 cmig4.sa
cesp6 cesp6.sa
cgas5 cgas5.sa
cple6 cple6.sa
csan3 csan3.sa
cpfe3 cpfe3.sa
ccpr3 ccpr3.sa
cyre3 cyre3.sa
dura4 dura4.sa
elet3 elet3.sa
elet6 elet6.sa
elpl6 elpl6.sa
embr3 embr3.sa
gfsa3 gfsa3.sa
ggbr4 ggbr4.sa
goau4 goau4.sa
goll4 goll4.sa
itau4 itau4.sa
itsa4 itsa4.sa
klbn4 klbn4.sa
ligt3 ligt3.sa
lame4 lame4.sa
lren3 lren3.sa
natu3 natu3.sa
netc4 netc4.sa
bnca3 bnca3.sa
pcar4 pcar4.sa
prga3 prga3.sa
petr3 petr3.sa
petr4 petr4.sa
sbsp3 sbsp3.sa
sdia4 sdia4.sa
csna3 csna3.sa
cruz3 cruz3.sa
tamm4 tamm4.sa
tnlp3 tnlp3.sa
tnlp4 tnlp4.sa
tmar5 tmar5.sa
tmcp4 tmcp4.sa
tlpp4 tlpp4.sa
tcsl3 tcsl3.sa
tcsl4 tcsl4.sa
trpl4 trpl4.sa
ugpa4 ugpa4.sa
ubbr11 ubbr11.sa
usim5 usim5.sa
vcpa4 vcpa4.sa
vale3 vale3.sa
vale5 vale5.sa
vivo4 vivo4.sa
